Index	Name	ID	Gender	Plate	Well	Group	Parent1	Parent2	Replicate	SentrixPosition
1		101035450001_R01C01	Unknown							101035450001_R01C01
2		101035450001_R01C02	Unknown							101035450001_R01C02
3		101035450001_R01C03	Unknown							101035450001_R01C03
4		101035450001_R01C04	Unknown							101035450001_R01C04
5		101035450001_R02C01	Unknown							101035450001_R02C01
6		101035450001_R02C02	Unknown							101035450001_R02C02
7		101035450001_R02C03	Unknown							101035450001_R02C03
8		101035450001_R02C04	Unknown							101035450001_R02C04
9		101035450001_R03C01	Unknown							101035450001_R03C01
10		101035450001_R03C02	Unknown							101035450001_R03C02
11		101035450001_R03C03	Unknown							101035450001_R03C03
12		101035450001_R03C04	Unknown							101035450001_R03C04
13		101035450001_R04C01	Unknown							101035450001_R04C01
14		101035450001_R04C02	Unknown							101035450001_R04C02
15		101035450001_R04C03	Unknown							101035450001_R04C03
16		101035450001_R04C04	Unknown							101035450001_R04C04
17		101035450001_R05C01	Unknown							101035450001_R05C01
18		101035450001_R05C02	Unknown							101035450001_R05C02
19		101035450001_R05C03	Unknown							101035450001_R05C03
20		101035450001_R05C04	Unknown							101035450001_R05C04
21		101035450001_R06C01	Unknown							101035450001_R06C01
22		101035450001_R06C02	Unknown							101035450001_R06C02
23		101035450001_R06C03	Unknown							101035450001_R06C03
24		101035450001_R06C04	Unknown							101035450001_R06C04
25		101035450001_R07C01	Unknown							101035450001_R07C01
26		101035450001_R07C02	Unknown							101035450001_R07C02
27		101035450001_R07C03	Unknown							101035450001_R07C03
28		101035450001_R07C04	Unknown							101035450001_R07C04
29		101035450001_R08C01	Unknown							101035450001_R08C01
30		101035450001_R08C02	Unknown							101035450001_R08C02
31		101035450001_R08C03	Unknown							101035450001_R08C03
32		101035450001_R08C04	Unknown							101035450001_R08C04
33		101035450002_R01C01	Unknown							101035450002_R01C01
34		101035450002_R01C02	Unknown							101035450002_R01C02
35		101035450002_R01C03	Unknown							101035450002_R01C03
36		101035450002_R01C04	Unknown							101035450002_R01C04
37		101035450002_R02C01	Unknown							101035450002_R02C01
38		101035450002_R02C02	Unknown							101035450002_R02C02
39		101035450002_R02C03	Unknown							101035450002_R02C03
40		101035450002_R02C04	Unknown							101035450002_R02C04
41		101035450002_R03C01	Unknown							101035450002_R03C01
42		101035450002_R03C02	Unknown							101035450002_R03C02
43		101035450002_R03C03	Unknown							101035450002_R03C03
44		101035450002_R03C04	Unknown							101035450002_R03C04
45		101035450002_R04C01	Unknown							101035450002_R04C01
46		101035450002_R04C02	Unknown							101035450002_R04C02
47		101035450002_R04C03	Unknown							101035450002_R04C03
48		101035450002_R04C04	Unknown							101035450002_R04C04
49		101035450002_R05C01	Unknown							101035450002_R05C01
50		101035450002_R05C02	Unknown							101035450002_R05C02
51		101035450002_R05C03	Unknown							101035450002_R05C03
52		101035450002_R05C04	Unknown							101035450002_R05C04
53		101035450002_R06C01	Unknown							101035450002_R06C01
54		101035450002_R06C02	Unknown							101035450002_R06C02
55		101035450002_R06C03	Unknown							101035450002_R06C03
56		101035450002_R06C04	Unknown							101035450002_R06C04
57		101035450002_R07C01	Unknown							101035450002_R07C01
58		101035450002_R07C02	Unknown							101035450002_R07C02
59		101035450002_R07C03	Unknown							101035450002_R07C03
60		101035450002_R07C04	Unknown							101035450002_R07C04
61		101035450002_R08C01	Unknown							101035450002_R08C01
62		101035450002_R08C02	Unknown							101035450002_R08C02
63		101035450002_R08C03	Unknown							101035450002_R08C03
64		101035450002_R08C04	Unknown							101035450002_R08C04
65		101035450017_R01C01	Unknown							101035450017_R01C01
66		101035450017_R01C02	Unknown							101035450017_R01C02
67		101035450017_R01C03	Unknown							101035450017_R01C03
68		101035450017_R01C04	Unknown							101035450017_R01C04
69		101035450017_R02C01	Unknown							101035450017_R02C01
70		101035450017_R02C02	Unknown							101035450017_R02C02
71		101035450017_R02C03	Unknown							101035450017_R02C03
72		101035450017_R02C04	Unknown							101035450017_R02C04
73		101035450017_R03C01	Unknown							101035450017_R03C01
74		101035450017_R03C02	Unknown							101035450017_R03C02
75		101035450017_R03C03	Unknown							101035450017_R03C03
76		101035450017_R03C04	Unknown							101035450017_R03C04
77		101035450017_R04C01	Unknown							101035450017_R04C01
78		101035450017_R04C02	Unknown							101035450017_R04C02
79		101035450017_R04C03	Unknown							101035450017_R04C03
80		101035450017_R04C04	Unknown							101035450017_R04C04
81		101035450017_R05C01	Unknown							101035450017_R05C01
82		101035450017_R05C02	Unknown							101035450017_R05C02
83		101035450017_R05C03	Unknown							101035450017_R05C03
84		101035450017_R05C04	Unknown							101035450017_R05C04
85		101035450017_R06C01	Unknown							101035450017_R06C01
86		101035450017_R06C02	Unknown							101035450017_R06C02
87		101035450017_R06C03	Unknown							101035450017_R06C03
88		101035450017_R06C04	Unknown							101035450017_R06C04
89		101035450017_R07C01	Unknown							101035450017_R07C01
90		101035450017_R07C02	Unknown							101035450017_R07C02
91		101035450017_R07C03	Unknown							101035450017_R07C03
92		101035450017_R07C04	Unknown							101035450017_R07C04
93		101035450017_R08C01	Unknown							101035450017_R08C01
94		101035450017_R08C02	Unknown							101035450017_R08C02
95		101035450017_R08C03	Unknown							101035450017_R08C03
96		101035450017_R08C04	Unknown							101035450017_R08C04
